Number,title,artist,top genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
175,She Looks So Perfect,5 Seconds of Summer,boy band,2014,160,95,49,-4,33,44,202,0,13,69
577,Run To You,Bryan Adams,album rock,1984,127,81,56,-6,29,64,233,1,3,65
275,Stuck On You,Lionel Richie,adult standards,1983,132,32,51,-16,9,25,192,62,3,69
514,The Rhythm of the Night,Corona,bubblegum dance,1994,128,81,69,-12,10,80,264,0,3,69
300,Beautiful Girls,Sean Kingston,dance pop,2014,118,64,54,-7,24,75,242,14,9,60
183,What A Girl Wants - Eddie Arroyo Dance Radio Edit,Christina Aguilera,dance pop,1999,130,92,75,-7,7,66,244,1,3,40
395,Tous les garçons et les filles - Slow,Françoise Hardy,chanson,1962,108,37,74,-10,14,89,188,81,3,57
415,Gimme! Gimme! Gimme! (A Man After Midnight),ABBA,europop,1979,120,49,75,-10,16,54,293,2,4,74
312,Perfect Strangers,Jonas Blue,dance pop,2018,118,86,73,-4,21,70,197,39,5,76
245,I Walk on Guilded Splinters,Dr. John,blues,1968,90,29,65,-19,9,71,466,56,8,48
129,Relight My Fire (feat. Lulu),Take That,boy band,1993,123,94,65,-7,10,93,252,4,5,61
459,Running Up That Hill (A Deal With God),Kate Bush,art pop,1985,108,55,63,-13,6,20,299,72,6,67
43,I Knew You Were Trouble.,Taylor Swift,dance pop,2012,77,47,62,-7,3,68,220,0,4,75
399,Doctor Doctor - 2007 Remaster,UFO,album rock,1974,143,80,30,-7,50,56,252,0,5,60
215,When You Love Someone,James TW,neo mellow,2019,126,45,68,-6,5,35,217,26,3,76
452,In My Head,Jason Derulo,dance pop,2010,110,75,76,-4,35,85,199,3,3,69
235,FRIENDS,Marshmello,brostep,2018,95,88,63,-2,13,53,203,21,5,83
153,Mandy,Barry Manilow,adult standards,1974,104,46,31,-9,14,32,213,42,3,69
574,Spending My Time,Roxette,europop,1991,171,57,42,-5,13,22,276,24,3,69
282,My Heart Belongs to Me,Barbra Streisand,adult standards,1977,139,21,27,-16,18,30,201,74,3,44
262,Isfahan,Duke Ellington,adult standards,1967,173,7,25,-14,10,9,246,98,3,47
218,L-O-V-E,Nat King Cole,adult standards,1992,78,37,43,-8,8,66,155,68,8,68
149,Weak,SWV,dance pop,1992,128,53,69,-11,7,57,292,11,4,66
95,Baby Come Back,Player,soft rock,2007,157,57,65,-11,12,56,214,5,11,59
559,What's Luv? (feat. Ja-Rule & Ashanti),Fat Joe,bronx hip hop,2001,94,71,84,-5,11,92,267,2,6,72
4,Won't Get Fooled Again - Original Album Version,The Who,album rock,1971,135,92,69,-6,8,23,511,30,6,65
384,Crying,Roy Orbison,adult standards,2017,97,47,23,-6,32,21,179,57,3,49
316,I Think We're Alone Now,Tiffany,new wave pop,2008,130,89,65,-5,9,70,227,0,4,58
125,Love Lies (with Normani),Khalid,alternative r&b,2018,144,65,71,-6,13,34,202,10,4,79
278,Against All Odds (Take a Look at Me Now) - 2016 Remaster,Phil Collins,mellow gold,2016,116,50,58,-7,13,11,206,20,3,74
498,Trouble Every Day,Frank Zappa,album rock,1966,121,78,31,-13,90,48,350,51,8,44
342,The Hills,The Weeknd,canadian contemporary r&b,2015,113,56,58,-7,14,14,242,7,5,83
35,Nothing's Gonna Change My Love For You,Glenn Medeiros,soft rock,1986,142,43,45,-13,6,39,232,57,4,64
65,Jessie's Girl,Rick Springfield,album rock,1981,132,59,72,-14,10,85,194,33,5,64
422,Dancing Queen,ABBA,europop,2008,101,93,51,-4,56,68,231,17,5,65
240,Hot Burrito #1,The Flying Burrito Brothers,alternative country,1969,157,43,40,-13,17,35,217,1,3,46
416,Stronger,Kanye West,chicago rap,2007,104,72,62,-8,41,49,312,1,15,80
220,What Becomes Of The Brokenhearted,Jimmy Ruffin,brill building pop,1989,99,42,72,-13,57,60,176,62,3,59
308,Who Am I (What's My Name)?,Snoop Dogg,g funk,1993,97,83,69,-4,52,69,246,0,5,70
489,Right Here Waiting,Richard Marx,mellow gold,1989,178,25,40,-14,10,13,264,80,3,75
195,Life in the Fast Lane - 2013 Remaster,Eagles,album rock,1976,110,76,67,-7,5,88,286,10,7,72
264,Without You (feat. Sandro Cavazza),Avicii,big room,2017,134,86,66,-5,5,30,182,0,4,80
534,I Feel Love - Edit,Donna Summer,dance pop,2018,126,91,66,-9,8,94,227,3,4,52
392,"Ferry Cross the Mersey - Stereo, 1997 Remaster",Gerry & The Pacemakers,adult standards,1997,105,29,40,-11,12,61,144,55,3,56
441,Bed Of Roses,Bon Jovi,glam metal,1992,165,60,31,-6,21,16,394,10,3,73
546,Get A Way,Maxx,bubblegum dance,1994,133,86,85,-10,5,60,227,3,4,60
46,Hysteria,Def Leppard,album rock,1987,107,85,66,-6,20,66,355,3,3,68
409,Take It Easy - 2013 Remaster,Eagles,album rock,1972,139,67,57,-10,13,74,212,34,3,75
11,Slide (feat. Frank Ocean & Migos),Calvin Harris,dance pop,2017,104,80,74,-3,25,51,231,50,5,74
389,Please Forgive Me,Bryan Adams,album rock,2005,67,46,53,-7,10,15,356,50,3,43
317,American Boy,Estelle,r&b,2008,118,73,73,-3,7,51,285,17,33,79
202,Strip That Down (feat. Quavo),Liam Payne,dance pop,2019,106,50,87,-5,8,55,202,20,5,71
158,I Promised Myself,Nick Kamen,,1990,128,80,58,-12,3,69,241,0,3,61
589,God's Plan,Drake,canadian hip hop,2018,77,45,75,-9,55,36,199,3,11,85
413,You're The One That I Want - From â€œGreaseâ€,John Travolta,hollywood,1978,107,61,76,-11,10,82,170,28,6,74
521,3AM,Matchbox Twenty,neo mellow,1996,108,67,52,-9,12,54,226,1,3,68
112,Killer Queen - 2011 Mix,Queen,glam rock,1974,117,65,54,-6,13,61,180,39,5,51
423,Hate That I Love You,Rihanna,barbadian pop,2008,94,73,64,-5,10,73,219,32,9,71
527,rockstar (feat. 21 Savage),Post Malone,dfw rap,2018,160,52,59,-6,13,13,218,12,7,88
504,Have You Ever - Radio Edit,Brandy,dance pop,2005,134,48,68,-7,30,23,215,60,4,54
59,Rocket Man (I Think It's Going To Be A Long Long Time),Elton John,glam rock,1972,137,53,60,-9,9,34,282,43,3,81
131,Fireflies,Owl City,pop,2009,180,66,51,-7,12,46,228,3,4,78
17,Livin' On A Prayer,Bon Jovi,glam metal,1986,123,89,53,-4,29,80,249,8,3,83
355,"Circle of Life - From ""The Lion King""/Soundtrack Version",Elton John,glam rock,1994,161,39,30,-15,11,14,292,26,3,59
377,One Last Time,Ariana Grande,dance pop,2014,125,59,63,-5,10,10,197,9,3,79
552,L'Amour Toujours,Gigi D'Agostino,eurodance,2011,139,73,62,-8,36,81,239,3,3,67
239,Dynamite,Taio Cruz,dance pop,2010,120,78,75,-4,4,82,203,0,9,77
437,Summer Air,ItaloBrothers,dance pop,2017,102,75,76,-4,8,49,184,6,7,43
12,Crank That (Soulja Boy),Soulja Boy,atl hip hop,2007,140,74,74,-2,5,80,222,52,8,76
13,The Best - Edit,Tina Turner,disco,1991,104,83,68,-6,21,82,250,1,3,71
176,The Winner Takes It All,ABBA,europop,1980,126,79,45,-7,9,52,295,57,4,72
339,Empire State of Mind (Part II) Broken Down,Alicia Keys,hip pop,2009,93,37,48,-8,12,14,216,74,3,75
291,One Kiss (with Dua Lipa),Calvin Harris,dance pop,2018,124,86,79,-3,8,59,215,4,11,85
44,Boom Boom Pow,The Black Eyed Peas,dance pop,2009,130,86,87,-6,13,40,251,13,7,68
520,PILLOWTALK,ZAYN,dance pop,2016,125,70,58,-4,9,44,203,12,5,78
436,Smack That,Akon,dance pop,2006,119,74,94,-5,9,93,212,32,5,73
268,Capsize,FRENSHIP,electropop,2016,93,71,68,-6,69,36,238,4,3,72
260,Break Your Heart,Taio Cruz,dance pop,2010,122,93,61,-4,9,57,202,3,3,71
